Release  Id : 325	Credit to Non-Financial Sector
CRDQARAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Argentina                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Belgium            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Belgium                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Belgium                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Belgium                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Belgium                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Belgium                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Belgium                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBRAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Brazil                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBRAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Brazil                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBRBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Brazil                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBRBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Brazil                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCAAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Canada               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCAAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Canada             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCAANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Canada                                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCAANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Canada                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCAAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Canada                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCAAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Canada                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCABPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Canada                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCABPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Canada                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Switzerland          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Switzerland        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Switzerland                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Switzerland                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Switzerland                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Switzerland                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Switzerland                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCHBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Switzerland                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for China                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for China              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for China                                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for China                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for China                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for China                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for China                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCNBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for China                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Czech Republic       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Czech Republic     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Czech Republic                                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Czech Republic                                    B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Czech Republic                                    B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Czech Republic                                  B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Czech Republic                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQCZBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Czech Republic                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Germany              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Germany            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Germany                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Germany                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Germany                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Germany                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Germany                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDEBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Germany                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Denmark              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Denmark            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Denmark                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Denmark                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Denmark                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Denmark                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Denmark                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQDKBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Denmark                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Spain                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Spain              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Spain                                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Spain                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Spain                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Spain                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Spain                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQESBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Spain                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Finland              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Finland            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Finland                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Finland                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Finland                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Finland                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Finland                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFIBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Finland                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for France               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for France             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for France                                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for France                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for France                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for France                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for France                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQFRBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for France                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for United Kingdom       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for United Kingdom     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for United Kingdom                                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for United Kingdom                                    B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for United Kingdom                                    B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for United Kingdom                                  B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for United Kingdom                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGBBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for United Kingdom                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Greece               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Greece             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Greece                                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Greece                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Greece                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Greece                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Greece                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQGRBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Greece                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Hong Kong SAR        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Hong Kong SAR      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Hong Kong SAR                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Hong Kong SAR                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Hong Kong SAR                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Hong Kong SAR                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Hong Kong SAR                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHKBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Hong Kong SAR                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Hungary              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Hungary            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Hungary                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Hungary                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Hungary                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Hungary                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Hungary                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQHUBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Hungary                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Indonesia            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Indonesia          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Indonesia                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Indonesia                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Indonesia                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Indonesia                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Indonesia                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIDBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Indonesia                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Ireland              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Ireland            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Ireland                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Ireland                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Ireland                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Ireland                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Ireland                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQIEBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Ireland                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for India                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for India              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for India                                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for India                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for India                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for India                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for India                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQINBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for India                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQITAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Italy                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQITAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Italy              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
