Release  Id : 325	Credit to Non-Financial Sector
CRDQARAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Argentina                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQARAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Argentina                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQARBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Argentina                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQARBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Argentina                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Austria              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Austria            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Austria                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Austria                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Austria                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Austria                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Austria                               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQATBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Austria                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Australia            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Australia          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Australia                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Australia                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Australia                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Australia                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Australia                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQAUBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Australia                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQBEAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Belgium              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
