Release  Id : 286	Federal Recovery Programs and BEA Statistics
CAGRTSQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Capital Transfer Payments: Capital Gr  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
CATRBUQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Capital Transfer Payments: Capital Tr  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
CONEXPQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Consumption Expenditures (DISCONTINUE  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
CTPAYMQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Capital Transfer Payments (DISCONTINU  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
CUREXPQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Expenditures (DISCONTINUED)    B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
CURRECQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Receipts (DISCONTINUED)        B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
CUTAXREQ027SBEA               Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Tax Receipts (DISCONTINUED)    B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
CUTRPAQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments (DISCONTINU  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
EDUGOVQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Grants-In-  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
GASLGOQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Grants-In-  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
GOSOBEQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
GROINVQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Gross Investment (DISCONTINUED)        B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
GSBTPEQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
MEDICAQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Grants-In-  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
MWTPTCQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Tax Receipts: Personal Curren  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
NFEDGSQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Net Federal Government Saving (DISCONTINUED)              B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
NLEBORQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Net Lending or Net Borrowing (-) (DIS  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
OCTFPAQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Other Current Transfer Payments (DISC  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
OTDLPYQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
OTHGOVQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Grants-In-  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
OTHPRGQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
OTHPRMQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
PCTOTHQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Tax Receipts: Personal Curren  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
PECUTAQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Tax Receipts: Personal Curren  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
REFTCRQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
ROWGOVQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: to the Res  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
SNUAPRQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
STFIASQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
SUBSIDQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Subsidies (DISCONTINUED)               B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
TOCOINQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Tax Receipts: Taxes on Corpor  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
TOTEXPQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Total Expenditures (DISCONTINUED)      B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
TOTRECQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Total Receipts (DISCONTINUED)          B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
UNEPROQ027SBEA                Effect of the American Recovery and Reinvestment Act (ARRA) on Federal Government Current Transfer Payments: Government  B SAAR 12-Aug-2013 01-Jan-2013             Quarterly          
