Id : 351  Manufacturing Business Outlook Survey
AWCDFNA066MNFRBPHI                      Current Work Hours; Diffusion Index for Federal Reserve District 3: Philadelphia                                                        NSA  Monthly    27-Nov-2022  
AWCDFSA066MSFRBPHI                      Current Work Hours; Diffusion Index for Federal Reserve District 3: Philadelphia                                                        SA   Monthly    27-Nov-2022  
AWCDNA156MNFRBPHI                       Current Work Hours; Percent Reporting Decreases for Federal Reserve District 3: Philadelphia                                            NSA  Monthly    27-Nov-2022  
AWCDSA156MSFRBPHI                       Current Work Hours; Percent Reporting Decreases for Federal Reserve District 3: Philadelphia                                            SA   Monthly    27-Nov-2022  
AWCINA156MNFRBPHI                       Current Work Hours; Percent Reporting Increases for Federal Reserve District 3: Philadelphia                                            NSA  Monthly    27-Nov-2022  
AWCISA156MSFRBPHI                       Current Work Hours; Percent Reporting Increases for Federal Reserve District 3: Philadelphia                                            SA   Monthly    27-Nov-2022  
AWCNNA156MNFRBPHI                       Current Work Hours; Percent Reporting No Change for Federal Reserve District 3: Philadelphia                                            NSA  Monthly    27-Nov-2022  
AWCNSA156MSFRBPHI                       Current Work Hours; Percent Reporting No Change for Federal Reserve District 3: Philadelphia                                            SA   Monthly    27-Nov-2022  
AWFDFNA066MNFRBPHI                      Future Work Hours; Diffusion Index for Federal Reserve District 3: Philadelphia                                                         NSA  Monthly    27-Nov-2022  
AWFDFSA066MSFRBPHI                      Future Work Hours; Diffusion Index for Federal Reserve District 3: Philadelphia                                                         SA   Monthly    27-Nov-2022  
AWFDNA156MNFRBPHI                       Future Work Hours; Percent Reporting Decreases for Federal Reserve District 3: Philadelphia                                             NSA  Monthly    27-Nov-2022  
AWFDSA156MSFRBPHI                       Future Work Hours; Percent Reporting Decreases for Federal Reserve District 3: Philadelphia                                             SA   Monthly    27-Nov-2022  
AWFINA156MNFRBPHI                       Future Work Hours; Percent Reporting Increases for Federal Reserve District 3: Philadelphia                                             NSA  Monthly    27-Nov-2022  
AWFISA156MSFRBPHI                       Future Work Hours; Percent Reporting Increases for Federal Reserve District 3: Philadelphia                                             SA   Monthly    27-Nov-2022  
AWFNNA156MNFRBPHI                       Future Work Hours; Percent Reporting No Change for Federal Reserve District 3: Philadelphia                                             NSA  Monthly    27-Nov-2022  
AWFNSA156MSFRBPHI                       Future Work Hours; Percent Reporting No Change for Federal Reserve District 3: Philadelphia                                             SA   Monthly    27-Nov-2022  
CEFDFNA066MNFRBPHI                      Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia                                               NSA  Monthly    27-Nov-2022  
CEFDFSA066MSFRBPHI                      Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia                                               SA   Monthly    27-Nov-2022  
CEFDNA156MNFRBPHI                       Future Capital Expenditures; Percent Reporting Decreases for Federal Reserve District 3: Philadelphia                                   NSA  Monthly    27-Nov-2022  
CEFDSA156MSFRBPHI                       Future Capital Expenditures; Percent Reporting Decreases for Federal Reserve District 3: Philadelphia                                   SA   Monthly    27-Nov-2022  
CEFINA156MNFRBPHI                       Future Capital Expenditures; Percent Reporting Increases for Federal Reserve District 3: Philadelphia                                   NSA  Monthly    27-Nov-2022  
CEFISA156MSFRBPHI                       Future Capital Expenditures; Percent Reporting Increases for Federal Reserve District 3: Philadelphia                                   SA   Monthly    27-Nov-2022  
CEFNNA156MNFRBPHI                       Future Capital Expenditures; Percent Reporting No Change for Federal Reserve District 3: Philadelphia                                   NSA  Monthly    27-Nov-2022  
CEFNSA156MSFRBPHI                       Future Capital Expenditures; Percent Reporting No Change for Federal Reserve District 3: Philadelphia                                   SA   Monthly    27-Nov-2022  
DTCDFNA066MNFRBPHI                      Current Delivery Time; Diffusion Index for Federal Reserve District 3: Philadelphia                                                     NSA  Monthly    27-Nov-2022  
