Release  Id : 478	Pandemic Claims Weekly Report
PEUCCCAK                      Pandemic Emergency Unemployment Compensation Continued Claims in Alaska                                                    NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCAL                      Pandemic Emergency Unemployment Compensation Continued Claims in Alabama                                                   NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCAR                      Pandemic Emergency Unemployment Compensation Continued Claims in Arkansas                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCAZ                      Pandemic Emergency Unemployment Compensation Continued Claims in Arizona                                                   NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCCA                      Pandemic Emergency Unemployment Compensation Continued Claims in California                                                NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCCO                      Pandemic Emergency Unemployment Compensation Continued Claims in Colorado                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCCT                      Pandemic Emergency Unemployment Compensation Continued Claims in Connecticut                                               NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCDC                      Pandemic Emergency Unemployment Compensation Continued Claims in District of Columbia                                      NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCDE                      Pandemic Emergency Unemployment Compensation Continued Claims in Delaware                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCFL                      Pandemic Emergency Unemployment Compensation Continued Claims in Florida                                                   NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCGA                      Pandemic Emergency Unemployment Compensation Continued Claims in Georgia                                                   NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCHI                      Pandemic Emergency Unemployment Compensation Continued Claims in Hawaii                                                    NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCIA                      Pandemic Emergency Unemployment Compensation Continued Claims in Iowa                                                      NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCID                      Pandemic Emergency Unemployment Compensation Continued Claims in Idaho                                                     NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCIL                      Pandemic Emergency Unemployment Compensation Continued Claims in Illinois                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCIN                      Pandemic Emergency Unemployment Compensation Continued Claims in Indiana                                                   NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCKS                      Pandemic Emergency Unemployment Compensation Continued Claims in Kansas                                                    NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCKY                      Pandemic Emergency Unemployment Compensation Continued Claims in Kentucky                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCLA                      Pandemic Emergency Unemployment Compensation Continued Claims in Louisiana                                                 NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCMA                      Pandemic Emergency Unemployment Compensation Continued Claims in Massachusetts                                             NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCMD                      Pandemic Emergency Unemployment Compensation Continued Claims in Maryland                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCME                      Pandemic Emergency Unemployment Compensation Continued Claims in Maine                                                     NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCMI                      Pandemic Emergency Unemployment Compensation Continued Claims in Michigan                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCMN                      Pandemic Emergency Unemployment Compensation Continued Claims in Minnesota                                                 NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCMO                      Pandemic Emergency Unemployment Compensation Continued Claims in Missouri                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCMS                      Pandemic Emergency Unemployment Compensation Continued Claims in Mississippi                                               NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCMT                      Pandemic Emergency Unemployment Compensation Continued Claims in Montana                                                   NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCNC                      Pandemic Emergency Unemployment Compensation Continued Claims in North Carolina                                            NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCND                      Pandemic Emergency Unemployment Compensation Continued Claims in North Dakota                                              NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCNE                      Pandemic Emergency Unemployment Compensation Continued Claims in Nebraska                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCNH                      Pandemic Emergency Unemployment Compensation Continued Claims in New Hampshire                                             NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCNJ                      Pandemic Emergency Unemployment Compensation Continued Claims in New Jersey                                                NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCNM                      Pandemic Emergency Unemployment Compensation Continued Claims in New Mexico                                                NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCNV                      Pandemic Emergency Unemployment Compensation Continued Claims in Nevada                                                    NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCNY                      Pandemic Emergency Unemployment Compensation Continued Claims in New York                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCOH                      Pandemic Emergency Unemployment Compensation Continued Claims in Ohio                                                      NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCOK                      Pandemic Emergency Unemployment Compensation Continued Claims in Oklahoma                                                  NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCOR                      Pandemic Emergency Unemployment Compensation Continued Claims in Oregon                                                    NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCPA                      Pandemic Emergency Unemployment Compensation Continued Claims in Pennsylvania                                              NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCPR                      Pandemic Emergency Unemployment Compensation Continued Claims in Puerto Rico                                               NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
PEUCCCRI                      Pandemic Emergency Unemployment Compensation Continued Claims in Rhode Island                                              NSA  14-Nov-2022 22-Oct-2022             Weekly, Ending Sat 
