Id : 447  FR Y-14M Large Bank Credit Card and Mortgage Data
RCCCBACTDPD30P                          Large Bank Consumer Credit Card Balances: 30 or More Days Past Due Rates: Accounts Based                                                NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTDPD60P                          Large Bank Consumer Credit Card Balances: 60 or More Days Past Due Rates: Accounts Based                                                NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTDPD90P                          Large Bank Consumer Credit Card Balances: 90 or More Days Past Due Rates: Accounts Based                                                NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTIVEBALPCT50                     Large Bank Consumer Credit Card Balances: Account Balance: Active Accounts Only: 50th Percentile                                        NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTIVEBALPCT75                     Large Bank Consumer Credit Card Balances: Account Balance: Active Accounts Only: 75th Percentile                                        NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTIVEBALPCT90                     Large Bank Consumer Credit Card Balances: Account Balance: Active Accounts Only: 90th Percentile                                        NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTIVEUTILPCT50                    Large Bank Consumer Credit Card Balances: Utilization: Active Accounts Only: 50th Percentile                                            NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTIVEUTILPCT75                    Large Bank Consumer Credit Card Balances: Utilization: Active Accounts Only: 75th Percentile                                            NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBACTIVEUTILPCT90                    Large Bank Consumer Credit Card Balances: Utilization: Active Accounts Only: 90th Percentile                                            NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBBALDPD30P                          Large Bank Consumer Credit Card Balances: 30 or More Days Past Due Rates: Balances Based                                                NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBBALDPD60P                          Large Bank Consumer Credit Card Balances: 60 or More Days Past Due Rates: Balances Based                                                NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBBALDPD90P                          Large Bank Consumer Credit Card Balances: 90 or More Days Past Due Rates: Balances Based                                                NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBBALREV                             Large Bank Consumer Credit Card Balances: Revolving Balances Only                                                                       NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBBALTOT                             Large Bank Consumer Credit Card Balances: Total Balances                                                                                NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBCOMTOT                             Large Bank Consumer Credit Card Balances: Total Commitments                                                                             NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBLIMPCT50                           Large Bank Consumer Credit Card Balances: Current Credit Limit: 50th Percentile                                                         NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBLIMPCT75                           Large Bank Consumer Credit Card Balances: Current Credit Limit: 75th Percentile                                                         NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBLIMPCT90                           Large Bank Consumer Credit Card Balances: Current Credit Limit: 90th Percentile                                                         NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBNUMACT                             Large Bank Consumer Credit Card Balances: Number of Accounts                                                                            NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBPCTCLDEC                           Large Bank Consumer Credit Card Balances: Accounts with Credit Line Decrease                                                            NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBPCTCLINC                           Large Bank Consumer Credit Card Balances: Accounts with Credit Line Increase                                                            NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBSCOREPCT10                         Large Bank Consumer Credit Card Balances: Current Credit Score: 10th Percentile                                                         NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBSCOREPCT25                         Large Bank Consumer Credit Card Balances: Current Credit Score: 25th Percentile                                                         NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBSCOREPCT50                         Large Bank Consumer Credit Card Balances: Current Credit Score: 50th Percentile                                                         NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBSHRFULL                            Large Bank Consumer Credit Card Balances: Share of Accounts Making Full Balance Payment                                                 NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBSHRGTMINLTMAX                      Large Bank Consumer Credit Card Balances: Share of Accounts Making Greater Than the Minimum Payment but Less Than the Full Balance      NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCBSHRMIN                             Large Bank Consumer Credit Card Balances: Share of Accounts Making the Minimum Payment                                                  NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCOLIMPCT50                           Large Bank Consumer Credit Card Originations: Original Credit Limit: 50th Percentile                                                    NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCOLIMPCT75                           Large Bank Consumer Credit Card Originations: Original Credit Limit: 75th Percentile                                                    NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCOLIMPCT90                           Large Bank Consumer Credit Card Originations: Original Credit Limit: 90th Percentile                                                    NSA  Quarterly, End of Quarter 03-Oct-2022  
RCCCONUMACT                             Large Bank Consumer Credit Card Originations: Number of New Accounts                                                                    NSA  Quarterly, Sum 03-Oct-2022  
RCCCOORG                                Large Bank Consumer Credit Card Originations: New Originations                                                                          NSA  Quarterly, Sum 03-Oct-2022  
RCCCOSCOREPCT10                         Large Bank Consumer Credit Card Originations: Original Credit Score: 10th Percentile                                                    NSA  Quarterly, End of Quarter 03-Oct-2022  
