Id : 14  G.19 Consumer Credit
FLNREVNEIA                              Nonrevolving Consumer Credit Owned by Nonprofit and Educational Institutions, Flow                                                      NSA  Monthly    07-Dec-2022  
FLNREVNFC                               Nonrevolving Consumer Credit Owned by Finance Companies, Flow                                                                           NSA  Monthly    07-Dec-2022  
FLNREVNFCA                              Nonrevolving Consumer Credit Owned by Finance Companies, Flow                                                                           NSA  Monthly    07-Dec-2022  
FLNREVNGOV                              Nonrevolving Consumer Credit Owned by Federal Government, Flow                                                                          NSA  Monthly    07-Dec-2022  
FLNREVNGOVA                             Nonrevolving Consumer Credit Owned by Federal Government, Flow                                                                          NSA  Monthly    07-Dec-2022  
FLNREVNNFC                              Nonrevolving Consumer Credit Owned by Nonfinancial Business, Flow                                                                       NSA  Monthly    07-Dec-2022  
FLNREVNNFCA                             Nonrevolving Consumer Credit Owned by Nonfinancial Business, Flow                                                                       NSA  Monthly    07-Dec-2022  
FLNREVNSAV                              Nonrevolving Consumer Credit Owned by Savings Institutions, Flow (DISCONTINUED)                                                         NSA  Monthly    07-Jun-2022  
FLNREVNSAVA                             Nonrevolving Consumer Credit Owned by Savings Institutions, Flow (DISCONTINUED)                                                         NSA  Monthly    07-Jun-2022  
FLNREVNSEC                              Nonrevolving Securitized Consumer Credit, Flow                                                                                          NSA  Monthly    07-Dec-2022  
FLNREVNSECA                             Nonrevolving Securitized Consumer Credit, Flow                                                                                          NSA  Monthly    07-Dec-2022  
FLREVOLNCB                              Revolving Consumer Credit Owned by Commercial Banks, Flow (DISCONTINUED)                                                                NSA  Monthly    07-Jun-2022  
FLREVOLNCBA                             Revolving Consumer Credit Owned by Commercial Banks, Flow (DISCONTINUED)                                                                NSA  Monthly    07-Jun-2022  
FLREVOLNCU                              Revolving Consumer Credit Owned by Credit Unions, Flow                                                                                  NSA  Monthly    07-Dec-2022  
FLREVOLNCUA                             Revolving Consumer Credit Owned by Credit Unions, Flow                                                                                  NSA  Monthly    07-Dec-2022  
FLREVOLNDI                              Revolving Consumer Credit Owned by Depository Institutions, Flow                                                                        NSA  Monthly    07-Dec-2022  
FLREVOLNDIA                             Revolving Consumer Credit Owned by Depository Institutions, Flow                                                                        NSA  Monthly    07-Dec-2022  
FLREVOLNFC                              Revolving Consumer Credit Owned by Finance Companies, Flow                                                                              NSA  Monthly    07-Dec-2022  
FLREVOLNFCA                             Revolving Consumer Credit Owned by Finance Companies, Flow                                                                              NSA  Monthly    07-Dec-2022  
FLREVOLNNFC                             Revolving Consumer Credit Owned by Nonfinancial Business, Flow                                                                          NSA  Monthly    07-Dec-2022  
FLREVOLNNFCA                            Revolving Consumer Credit Owned by Nonfinancial Business, Flow                                                                          NSA  Monthly    07-Dec-2022  
FLREVOLNS                               Revolving Consumer Credit Owned and Securitized, Flow                                                                                   NSA  Monthly    07-Dec-2022  
FLREVOLNSA                              Revolving Consumer Credit Owned and Securitized, Flow                                                                                   NSA  Monthly    07-Dec-2022  
